cellID	cellType	sampleID
GSM2172532	alpha	38_female
GSM2172533	beta	38_female
GSM2172534	alpha	38_female
GSM2172535	alpha	38_female
GSM2172536	beta	38_female
GSM2172537	alpha	38_female
GSM2172538	alpha	38_female
GSM2172539	alpha	38_female
GSM2172540	alpha	38_female
GSM2172541	alpha	38_female
GSM2172542	alpha	38_female
GSM2172543	alpha	38_female
GSM2172544	beta	38_female
GSM2172545	alpha	38_female
GSM2172546	alpha	38_female
GSM2172547	alpha	38_female
GSM2172548	alpha	38_female
GSM2172549	alpha	38_female
GSM2172550	alpha	38_female
GSM2172551	alpha	38_female
GSM2172552	alpha	38_female
GSM2172553	alpha	38_female
GSM2172554	alpha	38_female
GSM2172555	delta	38_female
GSM2172556	alpha	38_female
GSM2172557	alpha	38_female
GSM2172558	beta	38_female
GSM2172559	beta	38_female
GSM2172560	alpha	38_female
GSM2172561	alpha	38_female
GSM2172562	alpha	38_female
GSM2172563	alpha	38_female
GSM2172564	alpha	38_female
GSM2172565	alpha	38_female
GSM2172566	delta	38_female
GSM2172567	alpha	38_female
GSM2172568	delta	38_female
GSM2172569	alpha	38_female
GSM2172570	alpha	38_female
GSM2172571	alpha	38_female
GSM2172572	alpha	38_female
GSM2172573	beta	38_female
GSM2172574	alpha	38_female
GSM2172575	beta	38_female
GSM2172576	alpha	38_female
GSM2172577	alpha	38_female
GSM2172578	alpha	38_female
GSM2172579	alpha	38_female
GSM2172580	beta	38_female
GSM2172581	alpha	38_female
GSM2172582	beta	38_female
GSM2172583	alpha	38_female
GSM2172584	alpha	38_female
GSM2172585	alpha	38_female
GSM2172586	beta	38_female
GSM2172587	alpha	38_female
GSM2172588	alpha	38_female
GSM2172589	alpha	38_female
GSM2172590	alpha	38_female
GSM2172591	delta	38_female
GSM2172592	delta	38_female
GSM2172593	alpha	38_female
GSM2172594	alpha	38_female
GSM2172595	alpha	38_female
GSM2172596	alpha	38_female
GSM2172597	beta	38_female
GSM2172598	alpha	38_female
GSM2172599	alpha	38_female
GSM2172600	alpha	38_female
GSM2172601	beta	38_female
GSM2172602	alpha	38_female
GSM2172603	alpha	38_female
GSM2172604	alpha	38_female
GSM2172605	alpha	38_female
GSM2172606	alpha	38_female
GSM2172607	alpha	38_female
GSM2172608	alpha	38_female
GSM2172609	alpha	38_female
GSM2172610	alpha	38_female
GSM2172611	alpha	38_female
GSM2172612	alpha	38_female
GSM2172613	alpha	38_female
GSM2172614	alpha	38_female
GSM2172615	beta	38_female
GSM2172616	beta	38_female
GSM2172617	delta	38_female
GSM2172618	beta	38_female
GSM2172619	beta	38_female
GSM2172620	alpha	38_female
GSM2172621	alpha	38_female
GSM2172622	alpha	38_female
GSM2172623	beta	38_female
GSM2172624	beta	38_female
GSM2172625	alpha	38_female
GSM2172626	alpha	38_female
GSM2172627	alpha	38_female
GSM2172628	alpha	38_female
GSM2172629	alpha	38_female
GSM2172630	alpha	38_female
GSM2172631	beta	38_female
GSM2172632	alpha	38_female
GSM2172633	alpha	38_female
GSM2172634	alpha	38_female
GSM2172635	beta	38_female
GSM2172636	beta	38_female
GSM2172637	beta	38_female
GSM2172638	alpha	38_female
GSM2172639	alpha	38_female
GSM2172640	alpha	38_female
GSM2172641	beta	38_female
GSM2172642	alpha	38_female
GSM2172643	alpha	38_female
GSM2172644	alpha	38_female
GSM2172645	alpha	38_female
GSM2172646	beta	38_female
GSM2172647	alpha	38_female
GSM2172648	alpha	38_female
GSM2172649	alpha	38_female
GSM2172650	alpha	38_female
GSM2172651	beta	38_female
GSM2172652	alpha	38_female
GSM2172653	alpha	38_female
GSM2172654	beta	38_female
GSM2172655	alpha	38_female
GSM2172656	beta	38_female
GSM2172657	delta	38_female
GSM2172658	alpha	38_female
GSM2172659	alpha	38_female
GSM2172660	alpha	38_female
GSM2172661	alpha	38_female
GSM2172662	alpha	38_female
GSM2172663	beta	38_female
GSM2172664	alpha	38_female
GSM2172665	beta	38_female
GSM2172666	beta	38_female
GSM2172667	alpha	38_female
GSM2172668	mesenchymal	38_female
GSM2172669	acinar	38_female
GSM2172670	alpha	38_female
GSM2172671	alpha	38_female
GSM2172672	beta	38_female
GSM2172673	alpha	38_female
GSM2172674	ductal	38_female
GSM2172675	beta	38_female
GSM2172676	beta	38_female
GSM2172677	beta	38_female
GSM2172678	alpha	38_female
GSM2172679	alpha	38_female
GSM2172680	ductal	38_female
GSM2172681	alpha	38_female
GSM2172682	acinar	38_female
GSM2172683	alpha	38_female
GSM2172684	alpha	38_female
GSM2172685	beta	38_female
GSM2172686	alpha	38_female
GSM2172687	beta	38_female
GSM2172688	alpha	38_female
GSM2172689	mesenchymal	38_female
GSM2172690	alpha	38_female
GSM2172691	beta	38_female
GSM2172692	acinar	38_female
GSM2172693	acinar	38_female
GSM2172694	beta	38_female
GSM2172695	alpha	38_female
GSM2172696	mesenchymal	38_female
GSM2172697	acinar	38_female
GSM2172698	acinar	38_female
GSM2172699	alpha	38_female
GSM2172700	alpha	38_female
GSM2172701	beta	38_female
GSM2172702	ductal	38_female
GSM2172703	alpha	38_female
GSM2172704	acinar	38_female
GSM2172705	alpha	38_female
GSM2172706	alpha	38_female
GSM2172707	alpha	38_female
GSM2172708	acinar	38_female
GSM2172709	beta	38_female
GSM2172710	alpha	38_female
GSM2172711	alpha	38_female
GSM2172712	alpha	38_female
GSM2172713	beta	38_female
GSM2172714	alpha	38_female
GSM2172715	alpha	38_female
GSM2172716	alpha	38_female
GSM2172717	alpha	38_female
GSM2172718	alpha	38_female
GSM2172719	alpha	38_female
GSM2172720	beta	38_female
GSM2172721	ductal	38_female
GSM2172722	beta	38_female
GSM2172723	acinar	38_female
GSM2172724	acinar	38_female
GSM2172725	alpha	38_female
GSM2172726	acinar	38_female
GSM2172727	alpha	38_female
GSM2172728	alpha	38_female
GSM2172729	alpha	38_female
GSM2172730	beta	38_female
GSM2172731	alpha	38_female
GSM2172732	acinar	38_female
GSM2172733	alpha	38_female
GSM2172734	alpha	38_female
GSM2172735	alpha	38_female
GSM2172736	acinar	38_female
GSM2172737	acinar	38_female
GSM2172738	alpha	38_female
GSM2172739	alpha	38_female
GSM2172740	alpha	38_female
GSM2172741	alpha	38_female
GSM2172742	alpha	38_female
GSM2172743	beta	38_female
GSM2172744	acinar	38_female
GSM2172745	acinar	38_female
GSM2172746	alpha	38_female
GSM2172747	ductal	38_female
GSM2172748	alpha	38_female
GSM2172749	alpha	38_female
GSM2172750	alpha	38_female
GSM2172751	alpha	38_female
GSM2172752	alpha	38_female
GSM2172753	beta	38_female
GSM2172754	beta	38_female
GSM2172755	alpha	38_female
GSM2172756	beta	38_female
GSM2172757	alpha	38_female
GSM2172758	ductal	38_female
GSM2172759	alpha	38_female
GSM2172760	alpha	38_female
GSM2172761	alpha	38_female
GSM2172762	alpha	38_female
GSM2172763	acinar	38_female
GSM2172764	beta	1_male
GSM2172765	beta	1_male
GSM2172766	beta	1_male
GSM2172767	alpha	1_male
GSM2172768	alpha	1_male
GSM2172769	unsure	1_male
GSM2172770	beta	1_male
GSM2172771	alpha	1_male
GSM2172772	beta	1_male
GSM2172773	alpha	1_male
GSM2172774	delta	1_male
GSM2172775	beta	1_male
GSM2172776	beta	1_male
GSM2172777	beta	1_male
GSM2172778	unsure	1_male
GSM2172779	unsure	1_male
GSM2172780	alpha	1_male
GSM2172781	delta	1_male
GSM2172782	beta	1_male
GSM2172783	beta	1_male
GSM2172784	acinar	1_male
GSM2172785	delta	1_male
GSM2172786	beta	1_male
GSM2172787	alpha	1_male
GSM2172788	alpha	1_male
GSM2172789	alpha	1_male
GSM2172790	unsure	1_male
GSM2172791	alpha	1_male
GSM2172792	beta	1_male
GSM2172793	beta	1_male
GSM2172794	acinar	1_male
GSM2172795	alpha	1_male
GSM2172796	beta	1_male
GSM2172797	beta	1_male
GSM2172798	beta	1_male
GSM2172799	alpha	1_male
GSM2172800	alpha	1_male
GSM2172801	unsure	1_male
GSM2172802	acinar	1_male
GSM2172803	beta	1_male
GSM2172804	alpha	1_male
GSM2172805	alpha	1_male
GSM2172806	alpha	1_male
GSM2172807	beta	1_male
GSM2172808	delta	1_male
GSM2172809	beta	1_male
GSM2172810	delta	1_male
GSM2172811	unsure	1_male
GSM2172812	beta	1_male
GSM2172813	beta	1_male
